00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 2 à 2
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=760 R=1 S=06/10/24 E=06/10/24 +300 =160 -300
012 Belgian Interclubs 2024 - 2025 - Round 2
022 Various locations in Belgian Clubs
032 BEL
042 2024-10-06
052 2024-10-06
062 760
102 Cornet, Luc
132                                                                                        24.10.06 
001    1      Viaene, Jan                       1785           48151             1.0          2 w 1 
001    2      Cuyx, Tomas                       1722           13921             0.0          1 b 0 
001    3      Krishnagiri, Aarav                1585           27728             0.5          4 w = 
001    4      Ozkan, Vedat                         0           29064             0.5          3 b = 
001    5      Depovere, Freddy                  1583           98893             0.0          6 w 0 
001    6      Krishnagiri, Nagaraj                 0           29353             1.0          5 b 1 
001    7      Van Kempen, Alexander             1400           23146             0.0          8 w 0 
001    8      Provoost, Benny                   1641           54852             1.0          7 b 1 
001    9      Roosen, Stefan                    1810           21997             0.5         10 w = 
001   10      Remijsen, Dave                    1888           48381             0.5          9 b = 
001   11      Zjuravlyov, Maximilian            1711           23435             0.5         12 w = 
001   12      Li, Hansi                         1753           22843             0.5         11 b = 
001   13      Simek, Antonia                    1679           16377             1.0         14 w 1 
001   14      Seresia, Nathan                   1525           25225             0.0         13 b 0 
001   15      Claessens, Thias                     0           27361             0.0         16 w 0 
001   16      Mabrouk, Sagid                       0           29525             1.0         15 b 1 
001   17      Van Den Boeck, Wim                1874           43613             1.0         18 w 1 
001   18      Cazenave, Bruno                   1763           24975             0.0         17 b 0 
001   19      Acham, Meritza                    1669           28345             1.0         20 w 1 
001   20      Schrevens, Jelle                  1785           11070             0.0         19 b 0 
001   21      Verschueren, Dirk                 1605           12640             0.0         22 w 0 
001   22      Desadeleer, Geoffrey              1557           16626             1.0         21 b 1 
001   23      Engelhardt, Perry                 1498           27261             0.0         24 w 0 
001   24      Van Bockland, Siebe               1548           20157             1.0         23 b 1 
001   25      Strobbe, Jacob                    1835           11260             0.0         26 w 0 
001   26      Barneveld, Maarten                1670           26893             1.0         25 b 1 
001   27      El Oualkadi, Houdaifa                0           29419             0.5         28 w = 
001   28      Biltjes, Miguel                   1639           27056             0.5         27 b = 
001   29      Molenaar, Bram                    1593           24835             0.0         30 w 0 
001   30      Bianchi, Nolan                    1400           19442             1.0         29 b 1 
001   31      Van De Westelaken, Stefan            0           26459             1.0         32 w 1 
001   32      Mai, Tuan Dat                        0           29007             0.0         31 b 0 
001   33      Lagendijk, Ivo                    1868           15824             1.0         34 w 1 
001   34      Baert, Bart                       1699           15997             0.0         33 b 0 
001   35      Bosmans, Mark                     1662           47155             0.0         36 w 0 
001   36      Michiels, Lode                    1824           16887             1.0         35 b 1 
001   37      Duchesne, Marc                    1771           27278             1.0         38 w 1 
001   38      De Geest, Jan                     1646           48127             0.0         37 b 0 
001   39      Le Roij, Arnaud                      0           29170             0.0         40 w 0 
001   40      Van Der Vurst, Adriaan            1857           36447             1.0         39 b 1 
001   41      Torfs, Gert                       1754           13464             0.0         42 w 0 
001   42      Stynen, Koen                      2033           41076             1.0         41 b 1 
001   43      Nijssen, Tom                      1819           24994             1.0         44 w 1 
001   44      Vilarnau, Enrique                 1702           24961             0.0         43 b 0 
001   45      Hewitt, Charlie                      0           29164             0.0         46 w 0 
001   46      Jakers, Jens                      1631           13282             1.0         45 b 1 
001   47      Elsen, Joël                       1400           27271             1.0         48 w 1 
001   48      Audooren, Erwin                      0           29160             0.0         47 b 0 
001   49      Mareels Dutry, Jasper             1598           26036             1.0         50 w 1 
001   50      Vervloet, Staf                    1771           49654             0.0         49 b 0 
001   51      Croket, Luc                       1655           25020             0.0         52 w 0 
001   52      Roymans, Liese                    1744           16158             1.0         51 b 1 
001   53      Peeters, Ruben                    1727           11885             1.0         54 w 1 
001   54      De Praitere, Hannes               1699           17527             0.0         53 b 0 
001   55      Laeremans, Louis                  1556           13439             1.0         56 w 1 
001   56      Van De Perre, Ides                1479           22613             0.0         55 b 0 
001   57      Verduyckt, Johan                  1855           46361             0.0         58 w 0 
001   58      Demont, Yves                      1841           24996             1.0         57 b 1 
001   59      Maes, Lander                      1641           19230             1.0         60 w 1 
001   60      Biçakçi, Yigit                    1437           26457             0.0         59 b 0 
001   61      Van Calster, Stan                 1447           24109             0.0         62 w 0 
001   62      Thiry, Victor                     1679           16418             1.0         61 b 1 
001   63      De Groof, Mathijs                 1585           18979             1.0         64 w 1 
001   64      Van Uythem, Rube                     0           28478             0.0         63 b 0 
001   65      Van Gils, Jan                     1813           23353             0.0         66 w 0 
001   66      Willen, Ronny                     1876           95001             1.0         65 b 1 
001   67      Cardinaels, Jean                  1895           99512             0.5         68 w = 
001   68      Groeneveld, Warre                 1704           17602             0.5         67 b = 
001   69      Van Der Meulen, Maarten           1720           26473             0.0         70 w 0 
001   70      Bouma, Peter                      1858           16635             1.0         69 b 1 
001   71      Venken, Kenneth                   1873           43885             0.0         72 w 0 
001   72      Billen, Arnoud                    1600           23502             1.0         71 b 1 
001   73      Buyse, Marin                         0           26917             1.0         74 w 1 
001   74      Mallants, Jochen                  1629           26087             0.0         73 b 0 
001   75      Vandenhove, Lucas                 1650           25049             0.0         76 w 0 
001   76      Joenck, Christopher               1687           19775             1.0         75 b 1 
001   77      Alvarez Barrera, Raul                0           29040             0.5         78 w = 
001   78      Van Wyk, Wessel                      0           29299             0.5         77 b = 
001   79      Aishajiang, Erpan                    0           24413             0.0         80 w 0 
001   80      Troiani, Maxime                   1588           19902             1.0         79 b 1 
001   81      Kuijpers, Domien                  1877           71820             1.0         82 w 1 
001   82      Cillen, Jeroen                    1876           48259             0.0         81 b 0 
001   83      Beckers, Seth                     1721           23102             0.5         84 w = 
001   84      Schols, Geri                      1731           29351             0.5         83 b = 
001   85      Ponsen, Bert                      1621           24719             0.0         86 w 0 
001   86      Steeno, Matz                      1739           19839             1.0         85 b 1 
001   87      Schijns, Matz                     1594           21037             1.0         88 w 1 
001   88      Maesen, Sebastian                    0           27439             0.0         87 b 0 
001   89      Vandendriessche, Gunther          1863           26280             0.0         90 w 0 
001   90      Truwant, Pieter                   1970           45063             1.0         89 b 1 
001   91      Roelandt, Jesse                   1899           21498             1.0         92 w 1 
001   92      Bolle, Maurice                    1676           23209             0.0         91 b 0 
001   93      Slodicka, Anton                   1702           17480             1.0         94 w 1 
001   94      Catteeuw, David                   1667           99488             0.0         93 b 0 
001   95      Hanssens, Daan                    1591           19069             0.5         96 w = 
001   96      Van Hamme, Remco                  1782            5789             0.5         95 b = 
001   97      Baeten, Yves                      1779           33618             0.5         98 w = 
001   98      Ulenaers, Marc                    1750           89508             0.5         97 b = 
001   99      Renckens, Yannick                 1817            5177             1.0        100 w 1 
001  100      Cornelis, Werner                  1607            8788             0.0         99 b 0 
001  101      Burgdorffer, Anton                1562           28576             0.0        102 w 0 
001  102      Muller, Erik                      1743           27465             1.0        101 b 1 
001  103      Vancoillie, Guido                 1627           12824             1.0        104 w 1 
001  104      De Visser, Stefaan                1595            6891             0.0        103 b 0 
001  105      Nolf, Francky                     1690           24074             0.5        106 w = 
001  106      Pierloot, Joran                   1636           20553             0.5        105 b = 
001  107      Pierloot, Siebe                   1584           22100             1.0        108 w 1 
001  108      Bartier, Wieland                  1705           17299             0.0        107 b 0 
001  109      Kim, Oleg                         1668           12340             0.0        110 w 0 
001  110      Trinh, Manjit                     1545           23705             1.0        109 b 1 
001  111      Mezhiev, Musa                        0           28898             1.0        112 w 1 
001  112      Vannecke, Ben                     1537           19375             0.0        111 b 0 
001  113      Lucas, Jean                       1748           12629             0.5        114 w = 
001  114      Van Damme, Patrick                1805           10626             0.5        113 b = 
001  115      Haers, Luc                        1657           98226             1.0        116 w 1 
001  116      Lenoir, Aurèle                    1760           22250             0.0        115 b 0 
001  117      Vandenbussche, Dries              1596           11793             0.0        118 w 0 
001  118      Facchin, Ronald                   1635           21971             1.0        117 b 1 
001  119      Temmerman, Stefaan                1479           16463             1.0        120 w 1 
001  120      De Roover, Adriaan                1546           22113             0.0        119 b 0 
001  121      Vincent, Jules                    1490           27425             0.0        122 w 0 
001  122      Wilmotte, Ward                    1568           26825             1.0        121 b 1 
001  123      Decraene, Merlijn                 1569           15524             1.0        124 w 1 
001  124      Deceuninck, Wouter                   0           27368             0.0        123 b 0 
001  125      Carbon, Mauritz                      0           29312             1.0        126 w 1 
001  126      Terryn, Lukas                        0           27613             0.0        125 b 0 
001  127      Verscheure, Oscar                    0           28246             1.0        128 w 1 
001  128      Rasouli, Latif                       0           29381             0.0        127 b 0 
001  129      Pauwels, Xander                   2116           11927             0.5        130 w = 
001  130      Feys, Jan                         1803           65846             0.5        129 b = 
001  131      Manhaeve, Wouter                  1623           25441             0.0        132 w 0 
001  132      Ramacker, Quinten                 2048           43257             1.0        131 b 1 
001  133      Dubbeldam, Lydia                  1873           10303             0.5        134 w = 
001  134      Tabsho, Hassan                    1669           21992             0.5        133 b = 
001  135      Deschepper, Matteo                1493           17956             0.0        136 w 0 
001  136      Ramacker, Nico                    1871           10280             1.0        135 b 1 
001  137      Van Der Beken, Ruben                 0           29108             0.0        138 w 0 
001  138      Denys, Alex                       2149           21873             1.0        137 b 1 
001  139      Tumenjargal, Suldee               1816           19937             1.0        140 w 1 
001  140      Vandendriessche, Sam              1570           26665             0.0        139 b 0 
001  141      Geerinckx, Bert                   1609           25834             0.0        142 w 0 
001  142      Van Kerkhove, Piet                1832           12092             1.0        141 b 1 
001  143      De Muyter, Willy                  1753           21320             1.0        144 w 1 
001  144      Dumont, Miguël                    1539           24786             0.0        143 b 0 
001  145      De Kock, Carlo                    1735           24311             0.5        146 w = 
001  146      Pynket, Seppe                     1771           17837             0.5        145 b = 
001  147      Van Geet, Michael                 1644           25069             0.0        148 w 0 
001  148      Defour, Eline                     1654           23351             1.0        147 b 1 
001  149      Daniels, Annelies                 1684           23090             0.0        150 w 0 
001  150      Vandermeersch, Victor             1567           17164             1.0        149 b 1 
001  151      Haccuria, Tanja                   1400           26803             0.0        152 w 0 
001  152      Cherentsov, Andrey                1425           27541             1.0        151 b 1 
001  153      Vercruysse, Kasper                   0           29503             1.0        154 w 1 
001  154      Vanden Abeele, Xavier             1829           55280             0.0        153 b 0 
001  155      Wollaert, Brian                   1754           51829             0.0        156 w 0 
001  156      De Witte, Rube                    1541           27510             1.0        155 b 1 
001  157      De Vlieger, Dirk                  1536            2089             1.0        158 w 1 
001  158      De Beau, John                     1597           23112             0.0        157 b 0 
001  159      Vandevelde, Luc                   1661           36366             0.0        160 w 0 
001  160      Vandenberghe, Leon                1400           27818             1.0        159 b 1 
001  161      Van De Velde, Toon                   0           29232             1.0        162 w 1 
