00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 1 à 1
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=760 R=1 S=29/09/24 E=29/09/24 +308 =144 -308
012 Belgian Interclubs 2024 - 2025 - Round 1
022 Various locations in Belgian Clubs
032 BEL
042 2024-09-29
052 2024-09-29
062 760
102 Cornet, Luc
132                                                                                        24.09.29 
001    1      Roy, Laurent                      1807           24270             1.0          2 w 1 
001    2      Lagendijk, Ivo                    1868           15824             0.0          1 b 0 
001    3      Michiels, Lode                    1824           16887             0.0          4 w 0 
001    4      Vienne, Corentin                  1755           26065             1.0          3 b 1 
001    5      Bontemps, Cédric                  1725           16259             0.5          6 w = 
001    6      Duchesne, Marc                    1771           27278             0.5          5 b = 
001    7      Verbeke, Kristof                  1680            4618             1.0          8 w 1 
001    8      Angillis, Julien                     0           29039             0.0          7 b 0 
001    9      Baert, Bart                       1699           15997             0.0         10 w 0 
001   10      Biltjes, Miguel                   1639           27056             1.0          9 b 1 
001   11      Amartib, Yassin                   1645           27042             1.0         12 w 1 
001   12      Bosmans, Mark                     1662           47155             0.0         11 b 0 
001   13      De Geest, Jan                     1646           48127             1.0         14 w 1 
001   14      Molenaar, Bram                    1593           24835             0.0         13 b 0 
001   15      Dudley, Timothy                   1490           17293             0.0         16 w 0 
001   16      Le Roij, Arnaud                      0           29170             1.0         15 b 1 
001   17      Geerts, Steven                    1637           98431             1.0         18 w 1 
001   18      Schrevens, Jelle                  1785           11070             0.0         17 b 0 
001   19      Debelie, Geert                    1740           99178             1.0         20 w 1 
001   20      Liman, Selim                         0           22405             0.0         19 b 0 
001   21      El Oualkadi, Houdaifa                0           29419             0.0         22 w 0 
001   22      Van Roy, Arno                     1707           50152             1.0         21 b 1 
001   23      Van Bockland, Siebe               1548           20157             1.0         24 w 1 
001   24      Keppens, Anakin                      0           26579             0.0         23 b 0 
001   25      Cazenave, Bruno                   1763           24975             1.0         26 w 1 
001   26      Roosen, Stefan                    1810           21997             0.0         25 b 0 
001   27      Silantev, Ilia                    1769           18840             1.0         28 w 1 
001   28      Rampelbergh, Wilfrid              1741           95826             0.0         27 b 0 
001   29      Acham, Meritza                    1669           28345             0.0         30 w 0 
001   30      Simek, Antonia                    1679           16377             1.0         29 b 1 
001   31      Brand, Leonard                    1591           17860             1.0         32 w 1 
001   32      Desadeleer, Geoffrey              1557           16626             0.0         31 b 0 
001   33      Remijsen, Dave                    1888           48381             1.0         34 w 1 
001   34      Cuyx, Tomas                       1722           13921             0.0         33 b 0 
001   35      Krishnagiri, Aarav                1585           27728             0.5         36 w = 
001   36      De Raedemaeker, Maarten           1792           31038             0.5         35 b = 
001   37      Zjuravlyov, Maximilian            1711           23435             0.5         38 w = 
001   38      Biesemans, Niel                   1562           19993             0.5         37 b = 
001   39      Van Kempen, Alexander             1400           23146             0.0         40 w 0 
001   40      Seresia, Nathan                   1525           25225             1.0         39 b 1 
001   41      Kuijpers, Domien                  1877           71820             0.5         42 w = 
001   42      Torfs, Gert                       1754           13464             0.5         41 b = 
001   43      Vilarnau, Enrique                 1702           24961             0.5         44 w = 
001   44      Schols, Geri                      1731           29351             0.5         43 b = 
001   45      Heylen, Leo                       1607           14745             0.5         46 w = 
001   46      Houtman, Lars                     1613           26970             0.5         45 b = 
001   47      Audooren, Erwin                      0           29160             1.0         48 w 1 
001   48      Maesen, Sebastian                    0           27439             0.0         47 b 0 
001   49      Beckers, Seth                     1721           23102             0.5         50 w = 
001   50      Buyse, Marin                         0           26917             0.5         49 b = 
001   51      Eskandar, Sosanna                 1645           16981             0.5         52 w = 
001   52      Steeno, Matz                      1739           19839             0.5         51 b = 
001   53      Pribylla, Amélia                  1625           20487             1.0         54 w 1 
001   54      Caffonnette, Joachim              1527           22774             0.0         53 b 0 
001   55      Lamotte, Florent                  1501           14205             1.0         56 w 1 
001   56      De Munter, Britt                     0           29142             0.0         55 b 0 
001   57      Mallants, Jochen                  1629           26087             0.5         58 w = 
001   58      Van Gils, Jan                     1813           23353             0.5         57 b = 
001   59      Hooyberghs, Benny                 1678           27324             0.5         60 w = 
001   60      Vandenhove, Lucas                 1650           25049             0.5         59 b = 
001   61      Van Wyk, Wessel                      0           29299             1.0         62 w 1 
001   62      Billen, Arnoud                    1600           23502             0.0         61 b 0 
001   63      Trevisan, Giovanni                1604           24586             1.0         64 w 1 
001   64      Aishajiang, Erpan                    0           24413             0.0         63 b 0 
001   65      Willen, Ronny                     1876           95001             1.0         66 w 1 
001   66      Raeymaekers, Timon                1604           17988             0.0         65 b 0 
001   67      Biçakçi, Yigit                    1437           26457             0.0         68 w 0 
001   68      Cardinaels, Jean                  1895           99512             1.0         67 b 1 
001   69      Bouma, Peter                      1858           16635             1.0         70 w 1 
001   70      Van Calster, Stan                 1447           24109             0.0         69 b 0 
001   71      Van Uythem, Rube                     0           28478             0.0         72 w 0 
001   72      Venken, Kenneth                   1873           43885             1.0         71 b 1 
001   73      Demont, Yves                      1841           24996             1.0         74 w 1 
001   74      Roymans, Liese                    1744           16158             0.0         73 b 0 
001   75      Peeters, Ruben                    1727           11885             0.0         76 w 0 
001   76      Van Bladel, Erik                  1788           45055             1.0         75 b 1 
001   77      Jansen, Luc                       1791           20095             0.0         78 w 0 
001   78      Ruelens, Arnout                   1729           18038             1.0         77 b 1 
001   79      Van De Perre, Ides                1479           22613             1.0         80 w 1 
001   80      Van Der Avort, Bart               1602           15835             0.0         79 b 0 
001   81      Croket, Luc                       1655           25020             0.0         82 w 0 
001   82      Stynen, Koen                      2033           41076             1.0         81 b 1 
001   83      De Wel, Herman                    1863            3336             1.0         84 w 1 
001   84      De Praitere, Hannes               1699           17527             0.0         83 b 0 
001   85      Cavens, Ruben                     1589           25008             1.0         86 w 1 
001   86      Ulburghs, Piet                    1699           59960             0.0         85 b 0 
001   87      Willaert, Korneel                    0           26022             0.0         88 w 0 
001   88      Laeremans, Louis                  1556           13439             1.0         87 b 1 
001   89      Travadon, Loic                    2415           24915             1.0         90 w 1 
001   90      Vandendriessche, Gunther          1863           26280             0.0         89 b 0 
001   91      Bolle, Maurice                    1676           23209             0.0         92 w 0 
001   92      Pauwels, Xander                   2116           11927             1.0         91 b 1 
001   93      Ramacker, Quinten                 2048           43257             1.0         94 w 1 
001   94      Slodicka, Anton                   1702           17480             0.0         93 b 0 
001   95      Van Hamme, Remco                  1782            5789             1.0         96 w 1 
001   96      Ramacker, Nico                    1871           10280             0.0         95 b 0 
001   97      Feys, Jan                         1803           65846             0.5         98 w = 
001   98      Van Keirsbilck, Ilias             1704           21843             0.5         97 b = 
001   99      Braem, Axel                       1610           21999             0.0        100 w 0 
001  100      Tabsho, Hassan                    1669           21992             1.0         99 b 1 
001  101      Claeys, Ignaas                    1658           40932             0.0        102 w 0 
001  102      Kindt, Lukas                      1495           27244             1.0        101 b 1 
001  103      Rasouli, Latif                       0           29381             1.0        104 w 1 
001  104      Ravelingien, Emiel                1455           21203             0.0        103 b 0 
001  105      Bekaert, Dylan                    1671           22180             0.0        106 w 0 
001  106      Lucas, Jean                       1748           12629             1.0        105 b 1 
001  107      Lenoir, Aurèle                    1760           22250             0.5        108 w = 
001  108      Decraene, Merlijn                 1569           15524             0.5        107 b = 
001  109      Vermeulen, Christa                1503           21284             0.5        110 w = 
001  110      Persyn, Frank                     1671           97058             0.5        109 b = 
001  111      Vandenbussche, Dries              1596           11793             1.0        112 w 1 
001  112      De Meerleer, Jeroen               1419           14948             0.0        111 b 0 
001  113      Van Damme, Patrick                1805           10626             1.0        114 w 1 
001  114      Bartier, Wieland                  1705           17299             0.0        113 b 0 
001  115      Doom, Etienne                     1677           68705             0.5        116 w = 
001  116      Van Vooren, Marc                  1779           41629             0.5        115 b = 
001  117      Haers, Luc                        1657           98226             0.5        118 w = 
001  118      Kim, Oleg                         1668           12340             0.5        117 b = 
001  119      Vannecke, Ben                     1537           19375             0.0        120 w 0 
001  120      Facchin, Ronald                   1635           21971             1.0        119 b 1 
001  121      Wang, Yixuan                      1584           18680             0.0        122 w 0 
001  122      Baeten, Yves                      1779           33618             1.0        121 b 1 
001  123      Cornelis, Werner                  1607            8788             0.0        124 w 0 
001  124      Pierloot, Joran                   1636           20553             1.0        123 b 1 
001  125      Pierloot, Siebe                   1584           22100             0.5        126 w = 
001  126      Burgdorffer, Anton                1562           28576             0.5        125 b = 
001  127      Audooren, Olaf                    1567           49263             1.0        128 w 1 
001  128      Trinh, Manjit                     1545           23705             0.0        127 b 0 
