key,en,nl,fr,de
"<p>If your are an affilated player you can buy the book 100 years of Belgianchess history for the low price of 10 Euro. Non affilated persons can buy the book for 15 Euro.</p> <p>The book is available in 3 languages:  Dutch, French and German.</p><p>If you are an affiliated player, don't forget to provide your RBCF ID and to click on the search button.  Your name will be filled in automatically</p>","<p>If your are an affilated player you can buy the book 100 years of Belgianchess history for the low price of 10 Euro. Non affilated persons can buy the book for 15 Euro.</p> <p>The book is available in 3 languages:  Dutch, French and German.</p><p>If you are an affiliated player, don't forget to provide your RBCF ID and to click on the search button.  Your name will be filled in automatically</p>","<p> Als je een aangesloten speler bent, kun je het boek 100 jaar Belgisch schaakgeschiedenis voor de lage prijs van 10 euro kopen. Niet-aangesloten personen kunnen het boek kopen voor 15 euro. </p>
<p> Het boek is beschikbaar in 3 talen: Nederlands, Frans en Duits. </p>
<p> Als u een aangesloten speler bent, vergeet dan niet uw stamnummer in te vullen en om op de zoekknop te klikken. Uw naam wordt dan automatisch ingevuld. </p>","<p> Si vous êtes un joueur affilié, vous pouvez acheter le livre 100 ans de Belge
histoire d'échecs pour le petit prix de 10 euros. Les personnes non affiliées peuvent acheter
le livre pour 15 euros. </p>
<p> Le livre est disponible en 3 langues: en néerlandais, en français et en allemand. </p>
<p> Si vous êtes un joueur affilié, n'oubliez pas de fournir votre matricule  et cliquez sur le bouton de recherche. Votre nom sera rempli
automatiquement </p>","<p> Die verbundenen Spieler möchten das Buch 100 Jahre Belgische Schachgeschichte zum günstigen Preis von 10 Euro kaufen. Nicht verbundene Personen können   das Buch für 15 Euro kaufen. </ p>  <p> Das Buch ist in 3 Sprachen erhältlich:  Niederländisch, Französisch und Englisch. </ P>  <p> Wenn Sie ein verbundener Spieler sind, vergessen Sie nicht, Ihre ID-Nummer anzugeben und klicken Sie auf die Suchschaltfläche. Ihr Name wird automatisch ausgefüllt. </ p>"
"<p>In a few minutes you will receive an confirmation e-mail for your order.The e-mail will include the payment instructions.</p><p>If you selected one of the board members for the delivery, you will find the contact details in this e-mail.</p>","<p>In a few minutes you will receive an confirmation e-mail for your order.The e-mail will include the payment instructions.</p><p>If you selected one of the board members for the delivery, you will find the contact details in this e-mail.</p>","<p> Binnen enkele minuten ontvang je een bevestigingsmail voor je bestelling.  De e-mail bevat de betalingsinstructies. </p>
<p> Als je een van de bestuursleden hebt geselecteerd voor de levering, doe je dat vind de contactgegevens in deze e-mail. </p>  ","<p> Dans quelques minutes, vous recevrez un e-mail de confirmation de votre commande.  L'e-mail comprendra les instructions de paiement. </p>
<p> Si vous avez sélectionné l'un des membres du conseil pour la livraison, vous trouver les coordonnées dans cet e-mail. </p>","<p> In wenigen Minuten erhalten Sie eine Bestätigungs-E-Mail für Ihre Bestellung.  Die E-Mail enthält die Zahlungsanweisungen. </ P><p> Wenn Sie eines der Vorstandsmitglieder für die Lieferung ausgewählt haben, werden Sie Die Kontaktdaten finden Sie in dieser E-Mail. </ p>"
"<p>In order to keep the costs low, you can pick the books from 1 of the 7 people listed below.</p><ul><li>Luc Cornet, covering provinces of Limburg and Liège<li>Bernard Malfliet, covering provinces of Oost-Vlaanderen and Vlaams Brabant<li>Ruben Decrop, covering provinces of Antwerpen and West-Vlaanderen<li>Philippe Vukojevic, covering provinces of Namur and Luxembourg<li>Laurent Wery, covering provinces of Hainaut and Brabant Wallon<li>Günter Delhaes, covering the German speaking region, reachable at <a href='mailto:delhaes.g@skynet.be'>delhaes.g@skynet.be</a><li>Frank Hoffmeister, covering Brussels, reachable at <a href='mailto:Frank.HOFFMEISTER@ec.europa.eu'>Frank.HOFFMEISTER@ec.europa.eu</a></ul><p>You have to contact that person and agree on where and when the book can be handed over.  See the <a href='/page/board'>Board page</a> for the contact details of the board members.</p> <p>Alternatively we can deliver the book at any address in Belgium by DPD at an additional cost of 6.20 Euro </p>","<p>In order to keep the costs low, you can pick the books from 1 of the 7 people listed below.</p><ul><li>Luc Cornet, covering provinces of Limburg and Liège<li>Bernard Malfliet, covering provinces of Oost-Vlaanderen and Vlaams Brabant<li>Ruben Decrop, covering provinces of Antwerpen and West-Vlaanderen<li>Philippe Vukojevic, covering provinces of Namur and Luxembourg<li>Laurent Wery, covering provinces of Hainaut and Brabant Wallon<li>Günter Delhaes, covering the German speaking region, reachable at <a href='mailto:delhaes.g@skynet.be'>delhaes.g@skynet.be</a><li>Frank Hoffmeister, covering Brussels, reachable at <a href='mailto:Frank.HOFFMEISTER@ec.europa.eu'>Frank.HOFFMEISTER@ec.europa.eu</a></ul><p>You have to contact that person and agree on where and when the book can be handed over.  See the <a href='/page/board'>Board page</a> for the contact details of the board members.</p> <p>Alternatively we can deliver the book at any address in Belgium by DPD at an additional cost of 6.20 Euro </p>","<p> Om de kosten laag te houden, kunt u de boeken kiezen bij 1 van de 7 hieronder vermelde personen. </p> <ul> <li> Luc Cornet, die de provincies Limburg en Luik bestrijkt <li> Bernard Malfliet, voor de provincies Oost-Vlaanderen en Vlaams-Brabant <li> Ruben Decrop, voor de provincies Antwerpen en West-Vlaanderen <li> Philippe Vukojevic, voor de provincies Namen en Luxemburg <li> Laurent Wery, voor de provincies Henegouwen en Waals-Brabant <li > Günter Delhaes, voor het Duitstalige gebied, bereikbaar op <a href='mailto:delhaes.g@skynet.be'> delhaes.g@skynet.be </a> <li> Frank Hoffmeister, vanuit Brussel, bereikbaar op <a href='mailtoFrank.HOFFMEISTER@ec.europa.eu'> Frank.HOFFMEISTER@ec.europa.eu </a> </ul> <p> U moet contact opnemen met die persoon en afspreken waar en wanneer het boek kan worden overgedragen. Zie de <a href='/page/board'> Bestuurspagina </a> voor de contactgegevens van de bestuursleden. </p> <p> Als alternatief kunnen we het boek op elk adres in België bezorgen door DPD op een meerprijs van 6,20 euro </p>","<p> Afin de réduire les coûts, vous pouvez obtenir les livres d''une des 7 personnes listées ci-dessous. </p> <ul> <li> Luc Cornet, couvrant les provinces du Limbourg et de Liège <li> Bernard Malfliet, couvrant les provinces d'Oost-Vlaanderen et du Vlaams Brabant <li> Ruben Decrop, couvrant les provinces d'Anvers et de West-Vlaanderen<li> Philippe Vukojevic, couvrant les provinces de Namur et du Luxembourg <li> Laurent Wery, couvrant les provinces du Hainaut et du Brabant wallon <li > Günter Delhaes, couvrant la région germanophone, joignable à <a href='mailto:delhaes.g@skynet.be'> delhaes.g@skynet.be </a> <li> Frank Hoffmeister, couvrant Bruxelles, joignable à <a href='mailtoFrank.HOFFMEISTER@ec.europa.eu'> Frank.HOFFMEISTER@ec.europa.eu </a> </ul> <p> Vous devez contacter cette personne et convenir où et quand le livre peut être remis. Consultez la <a href='/page/board'> page du conseil d'administration </a> pour les coordonnées des membres du conseil d'administration. </p> <p> Nous pouvons également livrer le livre à n'importe quelle adresse en Belgique par DPD à un coût supplémentaire de 6,20 euros </p>","<p> Um die Kosten niedrig zu halten, können Sie die Bücher von einer der 7 unten aufgeführten Personen abholen. </ p> <ul> <li> Luc Cornet, der die Provinzen Limburg und Lüttich abdeckt <li> Bernard Malfliet, Abdeckung der Provinzen Oost-Vlaanderen und Vlaams Brabant <li>Ruben Decrop, Abdeckung der Provinzen Antwerpen und West-Vlaanderen<li> Philippe Vukojevic, Abdeckung der Provinzen Namur und Luxemburg <li>Laurent Wery, Abdeckung der Provinzen Hennegau und Brabant Wallon <li> Günter Delhaes, der den deutschsprachigen Region abdeckt, erreichbar unter <a href='mailto:delhaes.g@skynet.be'> delhaes.g@skynet.be </a> <li>Frank Hoffmeister, über Brüssel, erreichbar unter <a href='mailtoFrank.HOFFMEISTER@ec.europa.eu'> Frank.HOFFMEISTER@ec.europa.eu </a> </ ul> <p> Sie müssen diese Person kontaktieren und vereinbaren, wo und wann das Buch erscheint kann übergeben werden. Die Kontaktdaten der Vorstandsmitglieder finden Sie auf der <a href='/page/board'> Board-Seite </a>. </ P> <p> Alternativ können wir das Buch von DPD an eine beliebige Adresse in Belgien unter einer Adresse liefern zusätzliche Kosten von 6,20 Euro </ p>"
1 group,1 group,1 groep,1 groupe,1 Gruppe
2 opposite groups,2 opposite groups,2 tegengestelde groepen,2 groupes opposés,2 entgegengesetzte Gruppen
Access Rights,Access Rights,Toegangsrechten,Droits d'accès,Zugangsrechte
Add enrollment,Add enrollment,Inschrijving toevoegen,Ajouter une inscription,Anmeldung hinzufügen
Address,Address,Adres,Adresse,Adresse
Administration,Administration,Beheer,Administration,Administration
Affiliations,Affiliations,Aanslutingen,Affiliations,Zugehörigkeiten
